2025-04-12 23:52:51,782 INFO    MainThread:92278 [wandb_setup.py:_flush():67] Current SDK version is 0.19.9
2025-04-12 23:52:51,783 INFO    MainThread:92278 [wandb_setup.py:_flush():67] Configure stats pid to 92278
2025-04-12 23:52:51,783 INFO    MainThread:92278 [wandb_setup.py:_flush():67] Loading settings from /Users/benchen/.config/wandb/settings
2025-04-12 23:52:51,783 INFO    MainThread:92278 [wandb_setup.py:_flush():67] Loading settings from /Users/benchen/Desktop/1_CodingProjects/Resume_Projects/Fake_news_detector copy/fake_news_detector/wandb/settings
2025-04-12 23:52:51,783 INFO    MainThread:92278 [wandb_setup.py:_flush():67] Loading settings from environment variables
2025-04-12 23:52:51,783 INFO    MainThread:92278 [wandb_init.py:setup_run_log_directory():662] Logging user logs to /Users/benchen/Desktop/1_CodingProjects/Resume_Projects/Fake_news_detector copy/fake_news_detector/wandb/run-20250412_235251-6zt5jesh/logs/debug.log
2025-04-12 23:52:51,783 INFO    MainThread:92278 [wandb_init.py:setup_run_log_directory():663] Logging internal logs to /Users/benchen/Desktop/1_CodingProjects/Resume_Projects/Fake_news_detector copy/fake_news_detector/wandb/run-20250412_235251-6zt5jesh/logs/debug-internal.log
2025-04-12 23:52:51,783 INFO    MainThread:92278 [wandb_init.py:init():781] calling init triggers
2025-04-12 23:52:51,783 INFO    MainThread:92278 [wandb_init.py:init():786] wandb.init called with sweep_config: {}
config: {'_wandb': {}}
2025-04-12 23:52:51,783 INFO    MainThread:92278 [wandb_init.py:init():809] starting backend
2025-04-12 23:52:51,783 INFO    MainThread:92278 [wandb_init.py:init():813] sending inform_init request
2025-04-12 23:52:51,807 INFO    MainThread:92278 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2025-04-12 23:52:51,807 INFO    MainThread:92278 [wandb_init.py:init():823] backend started and connected
2025-04-12 23:52:51,809 INFO    MainThread:92278 [wandb_init.py:init():915] updated telemetry
2025-04-12 23:52:51,830 INFO    MainThread:92278 [wandb_init.py:init():939] communicating run to backend with 90.0 second timeout
2025-04-12 23:52:52,646 INFO    MainThread:92278 [wandb_init.py:init():1014] starting run threads in backend
2025-04-12 23:52:52,713 INFO    MainThread:92278 [wandb_run.py:_console_start():2454] atexit reg
2025-04-12 23:52:52,713 INFO    MainThread:92278 [wandb_run.py:_redirect():2306] redirect: wrap_raw
2025-04-12 23:52:52,713 INFO    MainThread:92278 [wandb_run.py:_redirect():2371] Wrapping output streams.
2025-04-12 23:52:52,713 INFO    MainThread:92278 [wandb_run.py:_redirect():2394] Redirects installed.
2025-04-12 23:52:52,715 INFO    MainThread:92278 [wandb_init.py:init():1056] run started, returning control to user process
2025-04-12 23:56:30,083 INFO    MsgRouterThr:92278 [mailbox.py:close():129] [no run ID] Closing mailbox, abandoning 1 handles.
